iteration,objective,change
1,0.073672757287239,0.20000000000000007
2,-0.01644871723855685,0.20000000000000007
3,-0.33048324815918034,0.20000000000000007
4,-0.8617090375686461,0.20000000000000007
5,-1.2111515464816929,0.20000000000000007
6,-1.4309482096923218,0.2
7,-1.4693135552348586,0.2
8,-1.5076157819488305,0.2
9,-1.511253164212152,0.19999999999999996
10,-1.5114946373875888,0.2
11,-1.5141904979120326,0.20000000000000007
12,-1.5175329932175214,0.20000000000000007
13,-1.5210916637745715,0.20000000000000007
14,-1.5253308146996405,0.20000000000000007
15,-1.5294670402915826,0.19999999999999996
16,-1.5312438128556827,0.157307888340666
17,-1.5319168384012172,0.05768713509244122
18,-1.532102383928066,0.06247654201980829
19,-1.5322326639170847,0.07018688157599645
20,-1.5323544004991683,0.07714826999958269
21,-1.5324671906718443,0.08565539883752782
22,-1.5325950393781556,0.09108687996363563
23,-1.5327254007793638,0.09533748979779011
24,-1.5328656694885312,0.09555717909237704
25,-1.5330060694124987,0.09222270579761449
26,-1.533141539350927,0.0482316003112917
27,-1.5332360250435821,0.033741969562129354
28,-1.5332922602203798,0.03601405075208483
29,-1.5333515427057198,0.03715675120711254
30,-1.5334109962792075,0.03678204028888793
31,-1.5334663976343519,0.036364914860925024
32,-1.533523323013413,0.03365335238153444
33,-1.5335718311323292,0.031698780372216406
34,-1.533619766502113,0.027509203905986046
35,-1.5336565995938185,0.024592806234090325
36,-1.5336901727273078,0.021898469843860457
37,-1.5337213196807487,0.018083994434263118
38,-1.5337440156470712,0.015523613114924117
39,-1.533763537000769,0.012822785082104549
40,-1.533778252740786,0.01083792948091522
41,-1.533790477627968,0.008827490643926628
